opportunity_id,title,organization,type,domain,deadline,difficulty
O046,Autonomous Systems Hackathon,Google Developer Groups,hackathon,Robotics,2026-10-20,intermediate
O047,System Design Primer,Flipkart,workshop,Algorithms,2026-09-27,intro
O048,Mobile App Hackathon,Razorpay,hackathon,Mobile,2026-09-27,intro
O049,Distributed Systems Workshop,BMSCE ACM Chapter,workshop,Backend,2026-09-04,intermediate
O050,React Performance Clinic,BMSCE ACM Chapter,workshop,Frontend,2026-12-28,intermediate
O051,Analytics Case Competition,HackCulture,competition,Data,2026-12-04,intro
O052,Kaggle Campus Competition,Google Developer Groups,workshop,Machine Learning,2026-09-28,advanced
O053,Site Reliability Bootcamp,Flipkart,workshop,DevOps,2026-11-12,intermediate
O054,Robotics Build Sprint,Google Developer Groups,workshop,Robotics,2026-12-26,intro
O055,Competitive Programming Camp,Razorpay,workshop,Algorithms,2026-09-04,advanced
O056,Cross-Platform Workshop,Coding Club,workshop,Mobile,2026-12-11,advanced
O057,Scalable Services Bootcamp,HackCulture,workshop,Backend,2026-12-26,intermediate
O058,UI Engineering Sprint,Razorpay,workshop,Frontend,2026-09-26,intro
O059,Data Pipeline Workshop,BMSCE ACM Chapter,workshop,Data,2026-12-25,advanced
O060,Deep Learning Workshop,BMSCE ACM Chapter,workshop,Machine Learning,2026-09-18,advanced
O061,CI/CD Clinic,Zoho,workshop,DevOps,2026-10-27,intermediate
O062,ROS Workshop,NVIDIA Developer Program,workshop,Robotics,2026-12-14,intro
O063,DSA Intensive,Flipkart,workshop,Algorithms,2026-09-14,intro
O064,App Performance Clinic,IEEE BMSCE,workshop,Mobile,2026-09-17,intro
O065,Backend Intern,BMSCE ACM Chapter,internship,Backend,2026-11-12,advanced
O066,Frontend Intern,Flipkart,internship,Frontend,2026-10-21,advanced
O067,Data Engineering Intern,HackCulture,internship,Data,2026-11-11,advanced
O068,ML Research Assistantship,AWS Educate,research,Machine Learning,2026-12-18,intro
O069,Platform Engineering Intern,Razorpay,internship,DevOps,2026-11-23,advanced
O070,Vision-Guided Robotics Assistantship,AWS Educate,research,Robotics,2026-09-21,advanced
O071,ACM ICPC Regionals,Microsoft Learn Student Chapter,competition,Algorithms,2026-10-07,intro
O072,Android Intern,Flipkart,internship,Mobile,2026-09-11,advanced
O073,API Platform Internship,Databricks,internship,Backend,2026-12-22,intermediate
O074,Design Systems Workshop,BMSCE ACM Chapter,workshop,Frontend,2026-09-14,intro
O075,Databricks Campus Hackathon,Razorpay,hackathon,Data,2026-09-18,advanced
O076,Applied ML Internship,Flipkart,internship,Machine Learning,2026-12-27,intro
O077,Kubernetes Workshop,Razorpay,workshop,DevOps,2026-11-03,intermediate
O078,Autonomous Systems Hackathon,Flipkart,hackathon,Robotics,2026-12-21,intro
O079,System Design Primer,AWS Educate,workshop,Algorithms,2026-12-19,intermediate
O080,Mobile App Hackathon,Zoho,hackathon,Mobile,2026-09-08,intro
